NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
Thompson St and Columbia Ave,Constructed,Delaware,5,Stormwater Tree Trench,2 Stormwater Tree Trenches, ,1 Stormwater Bumpout, , , , , , , , , ,alt,-75.13100253,39.97232046,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9723285266,-75.1310042917
Tarken Playground,In Design,TTF,8,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, ,1 Swale, , , , ,alt,-75.0824534,40.0409435,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0409515858,-75.0824551552
Taggert School,In Design,Delaware,1,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.1553966,39.91704075,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9170488093,-75.1553983637
Tacony Creek Reaches 4/5,In Design,TTF,7,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.10568374,40.02261872,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0226268003,-75.1056854979
"Summerdale, Longshore, Tyson (J. Hampton Moore School)",In Design,Delaware,"7, 10",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.07718206,40.04972058,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0497286715,-75.077183813
Stinger Square,In Design,Schuylkill,2,Infiltration/Storage Trench, , , ,1 Rain Garden, ,2 Infiltration/Storage Trenches, , , , , , ,alt,-75.19780628,39.93613862,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9361466782,-75.1978080609
Stephen Girard School,Constructed,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.17637329,39.92523747,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9252455342,-75.1763750602
Stenton Park,In Planning,TTF,8,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, ,1 Swale, , , , ,alt,-75.15280197,40.02463055,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0246386313,-75.1528037419
"Stenton Avenue and Washington Lane, NE Intersection",In Construction,TTF,9,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.16479734,40.05999198,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0600000648,-75.1647991199
St. Monica Manor,In Design,Delaware,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15399949,39.91659443,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9166024912,-75.1540012607
St. James Episcopal Church of Kingesessing,In Design,Cobbs-Darby,2,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.23862514,39.92162095,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9216290078,-75.2386269361
